Status,Category,Level,Section Nr,Section Name,HTML File Name,Feature Names,Keywords,Remarks
"Missing, (Assign right Category)",Link,,,&#8594; Reference Manual,REF_Features_Introduction.html,,,
"OK, (Assign right Category)",TOC,,,Table of Contents,GUI_Features_Table_of_Contents.html,Table of Contents,"Table of Contents,User Guide",
OK,Body,1,B 1,Overview,GUI_Features_overview.html,overview,overview,
OK,Body,2,B 1.1,Key Benefits,GUI_Features_Key_Benefits.html,Key Benefits,Key Benefits,
OK,Body,2,B 1.2,Key Features,GUI_Features_Key_Features.html,Key Features,Key Features,
OK,Body,2,B 1.3,Use Cases,GUI_Features_use_cases.html,use cases,use cases,
OK,Body,1,B 2,Installation and Setup,GUI_Features_Installation_and_Setup.html,Installation and Setup,Installation and Setup,
OK,Body,2,B 2.1,Windows,GUI_Features_Installation_on_Windows.html,Installation on Windows,Installation on Windows,
OK,Body,3,B 2.1.1,Windows - Download,GUI_Features_Windows_Download.html,Windows Download,Windows Download,
OK,Body,3,B 2.1.2,Windows - Installation,GUI_Features_Windows_Installation.html,Windows Installation,Windows Installation,
OK,Body,3,B 2.1.3,Windows - Getting Started,GUI_Features_Windows_Getting_Started.html,Windows Getting Started,Windows Getting Started,
OK,Body,2,B 2.2,Linux,GUI_Features_Installation_on_Linux.html,Installation on Linux,Installation on Linux,
OK,Body,3,B 2.2.1,Linux - Download,GUI_Features_Linux_Download.html,Linux Download,Linux Download,
OK,Body,3,B 2.2.2,Linux - Installation,GUI_Features_Linux_Installation.html,Linux Installation,Linux Installation,
OK,Body,3,B 2.2.3,Linux - Getting Started,GUI_Features_Linux_Getting_Started.html,Linux Getting Started,Linux Getting Started,
OK,Body,2,B 2.3,MacOS,GUI_Features_Installation_and_Setup_on_MacOS.html,Installation and Setup on MacOS,Installation and Setup on MacOS,
OK,Body,3,B 2.3.1,MacOS - Prerequisites,GUI_Features_MacOS_Prerequisites.html,MacOS Prerequisites,MacOS Prerequisites,
OK,Body,3,B 2.3.2,MacOS - Download,GUI_Features_MacOS_Download.html,MacOS Download,MacOS Download,
OK,Body,3,B 2.3.3,MacOS - Installation,GUI_Features_MacOS_Installation.html,MacOS Installation,MacOS Installation,
OK,Body,3,B 2.3.4,MacOS - Getting Started,GUI_Features_MacOS_Getting_Started.html,MacOS Getting Started,MacOS Getting Started,
OK,Body,2,B 2.4,Updates and Upgrades,GUI_Features_Updates_and_Upgrades.html,Updates and Upgrades,Updates and Upgrades,
OK,Body,2,B 2.5,De-installing B4P,GUI_Features_De-installing_B4P.html,De-installing B4P,De-installing B4P,
OK,Body,1,B 3,Getting Started,GUI_Features_Getting_started.html,Getting started,Getting started,
OK,Body,2,B 3.1,Getting Help,GUI_Features_Getting_help.html,Getting help,Getting help,
OK,Body,2,B 3.2,Interactive Mode Workflow,GUI_Features_Interactive_mode_workflow.html,Interactive mode workflow,Interactive mode workflow,
OK,Body,2,B 3.3,Programming Mode Workflow,GUI_Features_Programming_mode_workflow.html,Programming mode workflow,Programming mode workflow,
OK,Body,1,B 4,Examples,GUI_Features_Examples.html,Examples,Examples,
OK,Body,2,B 4.1,Football team merger,GUI_Features_merging_two_football_clubs.html,merging two football clubs,merging two football clubs,
OK,Body,1,B 5,Terms and Conditions,GUI_Features_Terms_and_Conditions.html,Terms and Conditions,Terms and Conditions,
OK,Body,2,B 5.1,Licensing,GUI_Features_Licensing.html,Licensing,Licensing,
